eft_id,description,normalized_description,company_id,company_name,alias,candidate_source,candidate_filter_score,fuzzy_score,vector_score,acronym_score,rule_score,final_score,risk_level,reason
21508,AEPS GST INC DT 09-05-201,aeps gst incorporated dt 09 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4528,0.0,0.0,0.5634,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21708,AEPS GST INC DT 22-05-201,aeps gst incorporated dt 22 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4531,0.0,0.0,0.5634,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
22566,AEPS GST INC DT 15-07-201,aeps gst incorporated dt 15 07 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4526,0.0,0.0,0.5633,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
25560,AEPS GST INC DT 11-05-201,aeps gst incorporated dt 11 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4527,0.0,0.0,0.5633,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21552,AEPS GST INC DT 11-05-201,aeps gst incorporated dt 11 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4527,0.0,0.0,0.5633,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
24967,AEPS GST INC DT 05-10-201,aeps gst incorporated dt 05 10 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4524,0.0,0.0,0.5632,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26830,AEPS GST INC DT 15-02-201,aeps gst incorporated dt 15 02 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4525,0.0,0.0,0.5632,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26121,AEPS INC DT 19-12-2018 RO,aeps incorporated dt 19 12 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4519,0.0,0.0,0.5631,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21673,AEPS GST INC DT 21-05-201,aeps gst incorporated dt 21 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4512,0.0,0.0,0.5629,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21635,AEPS GST INC DT 18-05-201,aeps gst incorporated dt 18 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4514,0.0,0.0,0.5629,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21609,AEPS GST INC DT 16-05-201,aeps gst incorporated dt 16 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4509,0.0,0.0,0.5628,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21515,AEPS GST INC DT 10-05-201,aeps gst incorporated dt 10 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.451,0.0,0.0,0.5628,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
21820,AEPS GST INC DT 28-05-201,aeps gst incorporated dt 28 05 201,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.7442,0.855,0.4505,0.0,0.0,0.5627,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
26084,AEPS INC DT 16-12-2018 RO,aeps incorporated dt 16 12 2018 ro,5,Delta Export Incorporated,delta exp incorporated,fuzzy_fallback,0.8205,0.855,0.4506,0.0,0.0,0.5627,Low Risk,Aday şirket fuzzy fallback ile bulundu. Yazımsal benzerlik yüksek bulundu.
